"marca","nombre_fantasia","denominacion","RNPA"
"La Serenísima","No registra","Queso azul, reggianito y mozzarella rallado, sin deshidratar. Libre de gluten","02-584341"
"La Serenísima","No registra","Queso cheddar procesado libre de gluten","19-000450"
"La Serenísima","No registra","Queso cremoso - Libre de gluten","02-564887"
"La Serenísima","No registra","Queso cremoso – Libre de gluten","02-580346"
"La Serenísima","No registra","Queso cremoso envasado al vacío - Libre de gluten","02-568787"
"La Serenísima","No registra","Queso cremoso libre de gluten","02-566444"
"La Serenísima","No registra","Queso cuartirolo. Libre de gluten","02-580329"
"La Serenísima","No registra","Queso danbo dietético reducido en grasas, reducido en calorías - Libre de gluten - se expenderá en barra o fraccionado - al vacío","02-565160"
"La Serenísima","No registra","Queso danbo. Libre de gluten","02-571882"
"La Serenísima","No registra","Queso de baja humedad, semigraso – Libre de gluten – Tipo reggianito – Para rallar","02-581839"
"La Serenísima","No registra","Queso edam, libre de gluten","02-573670"
"La Serenísima","No registra","Queso gouda - Libre de gluten (horma)","02-565154"
"La Serenísima","No registra","Queso Gouda light, libre de gluten","02-566449"
"La Serenísima","No registra","Queso gouda, mozzarella y chedar, rallado - Libre de gluten","02-566491"
"La Serenísima","No registra","Queso Goya libre de gluten","02-502319"
"La Serenísima","No registra","Queso parmesano libre de gluten","02-559876"
"La Serenísima","No registra","Queso por salut - Libre de gluten","02-568791"
"La Serenísima","No registra","Queso por salut dietético, reducido en su contenido graso, reducido en su contenido calórico y fortificado con vitaminas A y D - Libre de gluten","02-567178"
"La Serenísima","No registra","Queso por salut procesado untable - Libre de gluten","02-533479"
"La Serenísima","No registra","Queso por salut procesado untable - Libre de gluten","02-591090"
"La Serenísima","No registra","Queso port salut - Libre de gluten","02-564818"
"La Serenísima","No registra","Queso port salut - Libre de gluten","02-566359"
"La Serenísima","No registra","Queso port salut dietético reducido en su contenido graso, reducido en su contenido calórico y fortificado con vitaminas A y D, libre de gluten","02-564911"
"La Serenísima","No registra","Queso port salut dietético, reducido en su contenido graso, reducido en su contenido calórico y fortificado con vitaminas a y d. Libre de gluten","02-572036"
"La Serenísima","No registra","Queso port salut procesado untable libre de gluten - Light","02-592269"
"La Serenísima","No registra","Queso provolone – Fuente de vitaminas A y D – Libre de gluten","02-581841"
"La Serenísima","No registra","Queso provolone envasado al vacío - Libre de gluten","02-568795"
"La Serenísima","No registra","Queso reggianito - Light. Libre de gluten","02-567014"
"La Serenísima","No registra","Queso romano – Fuente de vitaminas A y D  – Libre de gluten","02-581842"
"La Serenísima","No registra","Queso romano. Libre de gluten","02-571881"
"La Serenísima","No registra","Queso Saint Paulin dietético reducido en su contenido graso reducido en su contenido calórico, libre de gluten","02-564912"
"La Serenísima","No registra","Queso Saint Paulin dietético, reducido en su contenido graso, reducido en su contenido calórico. Libre de gluten","02-566446"
"La Serenísima","No registra","Queso sardo – Fuente de vitaminas A y D – Libre de gluten","02-581840"
"La Serenísima","No registra","Queso sardo (horma entera) - Libre de gluten","02-569081"
"La Serenísima","No registra","Queso Sbrinz - Libre de gluten","02-570708"
"La Serenísima","No registra","Ricota magra – Libre de gluten","02-527681"
"La Serenísima","No registra","Ricotta con crema - Libre de gluten","02-572408"
"La Serenísima","No registra","Ricotta con crema, bajo en sodio. Libre de gluten","02-586863"
"La Serenísima","No registra","Ricotta magra, baja en sodio. Libre de gluten","02-585972"
"La Serenísima","No registra","Queso danbo, libre de gluten","02-594152"
"La Serenísima","No registra","Queso por salut - Libre de gluten","02-571852"
"La Serenísima","No registra","Queso danbo- Libre de gluten.","19-006014"
"La Serenísima","No registra","Queso mascarpone - Libre de gluten","02-600075"
"La Serenísima","Queso en hebras, queso azul, reggianito y mozzarella","Queso azul, reggianito, mozzarella, rallado sin deshidratar. Libre de gluten","19010520"
"La Serenísima","Queso danbo light","Queso danbo dietético, reducido en grasas reducido en calorías, libre de gluten (sin TACC)","19010059"
"La Serenísima","Queso Danbo","Queso danbo libre de gluten","04062182"
"La Serenísima","Queso danbo","Queso danbo, libre de gluten","19006014-3"
"La Serenísima","4 Quesos Queserísimos Light Hebras","Queso fontina procesado light, danbo light, gouda light y provolone, rallado sin deshidratar, reducido en su contenido calórico, dietético de contenido graso reducido libre de gluten","19010367"
"La Serenísima","Queso gouda","Queso gouda, fuente de vitamina A y D. Libre de gluten","19010512"
"La Serenísima","Queso gouda","Queso gouda, libre de gluten","19006023-2"
"La Serenísima","Queso holanda","Queso holanda, libre de gluten","19008933"
"La Serenísima","Queso minifynbo","Queso minifynbo, libre de gluten","19006161-1"
"La Serenísima","Queso mozzarella","Queso mozzarella libre de gluten","19006957"
"La Serenísima","Queso parmesano rallado","Queso parmesano rallado deshidratado, libre de gluten","19010337"
"La Serenísima","Queso parmesano","Queso parmesano, libre de gluten","19006644-3"
"La Serenísima","Queso pategrás","Queso pategrás, libre de gluten","19006022-4"
"La Serenísima","Queso en hebras 4 quesos: provolone, mozzarella, pategrás y reggianito","Queso provolone, mozzarella, pategrás y reggianito, rallados sin deshidratar libre de gluten. Sin TACC","19009718"
"La Serenísima","Queso rallado","Queso rallado, libre de gluten","19006684-2"
"La Serenísima","Queso Rallado Puro Reggianito","Queso reggianito rallado, sin deshidratar, libre de gluten","19010338"
"La Serenísima","Queso en hebras reggianito y pategrás","Queso reggianito y pategrás, rallados sin deshidratar libre de gluten sin TACC","19009719"
"La Serenísima","Queso reggianito","Queso reggianito, libre de gluten","19006664-8"
"La Serenísima","Queso romano","Queso romano, libre de gluten sin TACC","19006614-1"
"La Serenísima","Queso sardo","Queso sardo, libre de gluten","19006674-5"
"La Serenísima","Queso sbrinz","Queso sbrinz - Libre de gluten","19006634-6"
"La Serenísima","Queso pategrás en cubos","Queso pategrás libre de gluten","19010673"
"La Serenísima","Queso en hebras provolone y mozzarella","Queso provolone y mozzarella, rallado sin deshidratar libre de gluten","19010672"
"La Serenísima","Queso en hebras (danbo light y parmesano)","Quesos danbo light y parmesano, rallados sin deshidratar libre de gluten","19010671"
"La Serenísima","Queso sardo en cubos","Queso sardo libre de gluten","19010675"
"La Serenísima","Queso cheddar procesado","Queso cheddar procesado libre de gluten","19010036"
"La Serenísima","Queso cremoso","Queso cremoso libre de gluten","19006877"
"La Serenísima","Cremón - La Serenísima","Queso de alta humedad, doble crema, fuente de vitamina A y D, libre de gluten","02-582454"
"La Serenísima","Queso gouda light","Queso gouda libre de gluten","19010002"
"La Serenísima","Queso rallado light","Queso reggianito rallado, sin deshidratar libre de gluten","19010780"
"La Serenísima","No registra","Queso Danbo dietético reducido en grasas, reducido en calorías - Libre de gluten","02-566454"
"La Serenísima","No registra","Queso fontina procesado light, danbo light, gouda light y provolone, rallado - Libre de gluten","02-566490"
"La Serenísima","No registra","Queso port salut dietético, reducido en su contenido graso, reducido en su contenido calórico y fortificado con vitaminas A y D - Libre de gluten - Sin TACC","02-569186"
"La Serenísima","No registra","Queso procesado reducido en grasa, libre de gluten - Untable","02-561642"
"La Serenísima","No registra","Queso Saint Paulin de contenido graso reducido, reducido en calorías y bajo contenido en sodio - Libre de gluten","02-505291"
"La Serenísima - Cremón","No registra","Queso cremoso - Libre de gluten","02-553473"
"La Serenísima - Cremón","No registra","Queso de alta humedad doble crema - Libre de gluten","02-555277"
"La Serenísima - Cremón","No registra","Queso de alta humedad, doble crema - Libre de gluten","02-565743"
"La Serenísima - Cremón","Queso cremón light","Queso de alta humedad, semigraso - Libre de gluten",
";02-567232",,,
"La Serenísima - Fiambrín","No registra","Queso procesado untable con trocitos de mortadela libre de gluten","02-534023"
"La Serenísima - Fiambrín","No registra","Queso procesado pasteurizado con trocitos de mortadela - Libre de gluten","02-552384"
"La Serenísima - Finlandia","No registra","Queso procesado untable dietético, reducido en su contenido graso, reducido en su contenido calórico, sabor queso parmesano, con jamón. Libre de gluten","02-563969"
"La Serenísima - Finlandia","No registra","Queso cheddar procesado untable, reducido en su contenido calórico, libre de gluten","02-567828"
"La Serenísima - Finlandia","No registra","Queso procesado untable - Libre de gluten","02-509913"
"La Serenísima - Queso en hebras cuatro quesos light","No registra","Queso fontina procesado light, danbo light, gouda light y provolone, rallado, reducido en su contenido graso y reducido en su contenido calórico. Libre de gluten","02-586133"
"La Suipachense","No registra","Queso muzzarella libre de gluten","02-552480"
"La Suipachense","No registra","Queso por salut light - Reducido en calorías y en grasas totales - Libre de gluten","02-567163"
"La Suipachense","No registra","Queso tybo. Libre de gluten","02-580326"
"Lácteos Aurora S.R.L.","No registra","Queso mozzarella - Libre de gluten","02-607001"
"Lácteos Barraza","No registra","Queso mozzarella libre de gluten","02-581762"
"Lácteos Barraza","No registra","Queso cremoso - Libre de gluten, Sin TACC","02-570790"
"Lácteos Barraza","No registra","Queso port salut sin agregado de sal - Libre de gluten","02-567047"
"Lácteos Gotte","Cheddar sin TACC","Queso cheddar. Libre de gluten","025/08000317/050"
"Lácteos Gotte","Queso cremoso sin TACC","Queso cremoso. Libre de gluten","025/08000317/004"
"Lácteos Gotte","Gruyerito sin TACC","Queso gruyerito. Libre de gluten","025/08000317/044"
"Lácteos Gotte","Holanda sin TACC","Queso holanda. Libre de gluten","025/08000317/003"
"Lácteos Gotte","Minifynbo Sin TACC","Queso minifinbo libre de gluten","025/08000317/049"
"Lácteos Gotte","Mozzarella sin TACC","Queso mozzarella. Libre de gluten","025/08000317/046"
"Lácteos Gotte","Por salut sin TACC","Queso por salut magro libre de gluten","025/08000317/009"
"Lácteos Gotte","Por salut sin sal sin TACC","Queso por salut sin sal agregada libre de gluten","025/08000317/008"
"Lácteos Gotte","Reggianito sin TACC","Queso reggianito. Libre de gluten","025/08000317/013"
"Lácteos Gotte","Tybo sin TACC","Queso tybo libre de gluten","025/08000317/006"
"Lácteos Gotte","Parmesano Sin TACC","Queso parmesano libre de gluten","025/08000317/060"
"Lácteos gotte","Sardo sin TACC","Queso sardo libre de gluten","025/08000317/001"
"Lácteos Tonutti","Queso port salut sin TACC","Queso port salut libre de gluten","025/080067539-3-7/002"
"Lácteos Tonutti S.R.L.","Queso cremoso sin TACC","Queso cremoso libre de gluten","025/080067539-3-7/003"
"Lácteos Tonutti S.R.L.","Queso Holanda sin TACC","Queso Holanda libre de gluten","025/080067539-3-7/004"
"Lácteos Tonutti S.R.L.","Queso mozzarella sin TACC","Queso mozzarella libre de gluten","025/080067539-3-7/007"
"Lácteos Tonutti S.R.L.","Magro sin TACC","Queso por salut reducido en su valor lipídico. Magro – Libre de gluten","025/080067539-3-7/006"
"Lácteos Tonutti S.R.L.","Queso romano sin TACC","Queso romano libre de gluten","025/080067539-3-7/009"
"Lácteos Tonutti S.R.L.","Queso sardo sin TACC","Queso sardo libre de gluten","025/080067539-3-7/005"
"Lácteos Tonutti S.R.L.","Queso tybo sin TACC","Queso tybo libre de gluten","025/080067539-3-7/001"
"Lácteos Tonutti S.R.L.","Danbo","Queso danbo libre de gluten","025/080067539-3-7/018"
"Lácteos Tonutti S.R.L.","Mozzarella","Queso mozzarella libre de gluten","025/080067539-3-7/019"
"Lácteos Vicentia","Queso Cremoso","Queso cremoso libre de gluten","025/08000161-7/077"
"Lácteos Vicentia","Queso Tybo","Queso Tybo libre de gluten","025/08000161-7/076"
"Los Pirineos","No registra","Queso reggianito - Libre de gluten","02-583036"
"LW S.R.L.","Queso untable LW","Queso fundido untable libre de gluten","025/08000066-3-7/031"
"LW S.R.L.","Gouda descremado LW","Queso gouda descremado libre de gluten","025/08000066-3-7/009"
"LW S.R.L.","Ricotta semidesremada LW","Ricotta semidescremada libre de gluten","025/08000066-3-7/020"
"LW S.R.L.","Queso cremoso LW","Queso cremoso libre de gluten","025/08000066-3-7/001"
"LW S.R.L.","Gouda descremado sin sal LW","Queso gouda descremado muy bajo en sodio libre de gluten","025/08000066-3-7/010"
"LW S.R.L.","Mozarella LW","Queso mozarella libre de gluten","025/08000066-3-7/011"
"LW S.R.L.","Queso sardo LW","Queso sardo libre de gluten","025/08000066-3-7/013"
"LW S.R.L.","Queso Holanda LW","Queso Holanda libre de gluten","025/08000066-3-7/006"
